,First Name,Last name,university of PhD,university of PhD ID,department of PhD,year of PhD,current university,current university ID,department of current faculty,year faculty started,job title
88,Joelle,Frechette,Princeton University,181,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
89,Zachary,Gagnon,University of Notre Dame,116,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
90,Sharon,Gerecht,Israel Institute of Technology,472,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
91,An,Goffin,Stanford University,232,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
92,Jeffrey,Gray,University of Texas at Austin,49,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
93,Joseph,Katz,University of Chicago,122,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
94,Konstantinos,Konstantopoulos,Rice University,234,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
95,Rong,Li,San Francisco,12,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
96,Marc,Ostermeier,University of Texas at Austin,49,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
97,Rebecca,Schulman,California Institute of Technology,406,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
98,Chao,Wang,Brown University,262,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
99,Denis,Wirtz,Stanford University,232,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
